epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.69248,1.35603,3.60325,1.08541,0.01022,0.97872,0.02802,0.01617,1.2684,3.33135,1.02881,0.00018,0.00018,0.00018
2,7.57183,1.17759,1.29997,0.98495,0.01044,1,0.04788,0.03013,1.20612,3.11102,0.9816,0.000376238,0.000376238,0.000376238
3,10.862,1.13819,1.01117,0.97086,0.01022,0.97872,0.03154,0.01878,1.24265,3.08931,0.99889,0.000568516,0.000568516,0.000568516
4,13.6866,1.14262,0.92315,0.96731,0.01033,0.98936,0.64363,0.40574,1.25657,2.86682,0.98673,0.000756834,0.000756834,0.000756834
5,16.626,1.13798,0.89766,0.96617,0.01033,0.98936,0.55891,0.35865,1.26428,2.79856,1.005,0.000941192,0.000941192,0.000941192
6,19.8456,1.11615,0.88091,0.96479,0.01022,0.97872,0.60874,0.38493,1.23584,2.82551,1.02513,0.00112159,0.00112159,0.00112159
7,23.6823,1.145,0.85784,0.95553,1,0.47553,0.96747,0.58897,1.27432,2.17061,1.01633,0.00129803,0.00129803,0.00129803
8,27.0629,1.1445,0.79626,0.9579,1,0.55151,0.99226,0.60149,1.31501,1.8869,1.02546,0.00147051,0.00147051,0.00147051
9,29.7656,1.14413,0.8231,0.9734,0.97752,0.98936,0.99093,0.63893,1.24044,1.34232,0.99185,0.00163902,0.00163902,0.00163902
10,32.443,1.11775,0.77184,0.95473,0.98945,0.99782,0.98911,0.6445,1.22207,1.21992,0.97934,0.00180358,0.00180358,0.00180358
11,36.3072,1.10844,0.74337,0.95246,0.98622,1,0.99111,0.63814,1.2205,0.89882,1.00452,0.001802,0.001802,0.001802
12,39.4046,1.09922,0.73665,0.9624,0.97729,1,0.99362,0.6306,1.24353,0.75834,1.01748,0.0017822,0.0017822,0.0017822
13,42.1396,1.11594,0.71539,0.9583,0.98788,1,0.99068,0.63443,1.24577,0.66185,1.03619,0.0017624,0.0017624,0.0017624
14,44.8464,1.07002,0.69298,0.95774,0.98945,0.99787,0.99005,0.63613,1.24053,0.63595,1.02906,0.0017426,0.0017426,0.0017426
15,48.362,1.09195,0.6708,0.96169,0.98947,0.99963,0.99268,0.63404,1.24487,0.64332,1.02844,0.0017228,0.0017228,0.0017228
16,51.6092,1.06263,0.66645,0.95522,0.98893,1,0.99068,0.66686,1.15009,0.58897,1.01107,0.001703,0.001703,0.001703
17,54.3671,1.09633,0.65023,0.9685,0.97914,0.99848,0.98604,0.6273,1.22745,0.61003,1.04564,0.0016832,0.0016832,0.0016832
18,57.0921,1.07591,0.64343,0.95861,0.97834,1,0.9863,0.64933,1.20177,0.59106,1.02549,0.0016634,0.0016634,0.0016634
19,60.0886,1.08848,0.63453,0.96385,0.98838,1,0.98763,0.64406,1.22558,0.61081,1.03049,0.0016436,0.0016436,0.0016436
20,63.9051,1.04441,0.62243,0.95352,0.98902,1,0.98889,0.63872,1.23383,0.6318,1.03045,0.0016238,0.0016238,0.0016238
21,66.6156,1.04344,0.6058,0.94639,0.98723,1,0.98847,0.65815,1.20105,0.58091,1.01208,0.001604,0.001604,0.001604
22,69.4053,1.01295,0.60146,0.93295,0.98788,1,0.99079,0.66257,1.17846,0.56473,1.01557,0.0015842,0.0015842,0.0015842
23,71.8532,1.07321,0.59031,0.96016,0.98918,1,0.98816,0.67461,1.16076,0.5565,1.00846,0.0015644,0.0015644,0.0015644
24,75.97,1.00072,0.56213,0.95162,0.98845,1,0.98584,0.64993,1.24322,0.54594,1.03428,0.0015446,0.0015446,0.0015446
25,79.0391,1.03174,0.56859,0.94211,0.98853,1,0.98847,0.651,1.21081,0.55751,1.02083,0.0015248,0.0015248,0.0015248
26,81.4639,1.07447,0.5794,0.96142,0.98825,1,0.99026,0.65732,1.20215,0.52056,1.01701,0.001505,0.001505,0.001505
27,84.4092,1.07216,0.57288,0.95161,0.98946,0.99903,0.99016,0.67445,1.17204,0.50435,1.00698,0.0014852,0.0014852,0.0014852
28,87.083,1.04992,0.5601,0.94914,0.98947,0.99949,0.98742,0.68118,1.15424,0.50287,0.99818,0.0014654,0.0014654,0.0014654
29,90.898,1.03397,0.55015,0.94869,0.98871,1,0.98532,0.65912,1.17634,0.49658,1.01078,0.0014456,0.0014456,0.0014456
30,93.85,1.02484,0.55608,0.94104,0.98845,1,0.98732,0.67556,1.16388,0.50165,1.00343,0.0014258,0.0014258,0.0014258
31,96.5341,0.99789,0.53722,0.94346,0.98862,1,0.98868,0.66574,1.17977,0.48717,1.0031,0.001406,0.001406,0.001406
32,99.2435,1.01132,0.53486,0.94081,0.98849,1,0.99226,0.66643,1.17327,0.5,1.00112,0.0013862,0.0013862,0.0013862
33,102.883,1.0005,0.53216,0.93244,0.98806,1,0.99395,0.68293,1.1575,0.49611,1.00734,0.0013664,0.0013664,0.0013664
34,105.942,1.02257,0.5157,0.95743,0.98757,1,0.99026,0.66517,1.17763,0.49318,1.0101,0.0013466,0.0013466,0.0013466
35,108.607,1.01142,0.52091,0.93902,0.98906,1,0.99037,0.66302,1.18805,0.48786,1.01037,0.0013268,0.0013268,0.0013268
36,111.338,1.02095,0.51331,0.93818,0.98743,1,0.99037,0.68034,1.15895,0.48724,1.00854,0.001307,0.001307,0.001307
