number,value,datetime_start,datetime_complete,duration,params_color_p,params_disk_size,params_length_max,params_length_min,params_min_threshold,params_no_object_threshold,params_pp_circle,params_pp_square,params_radius_max,params_radius_min,state
16,0.8145695364238411,2026-04-20 15:01:23.921961,2026-04-20 15:03:16.257846,0 days 00:01:52.335885,0.7354039250108422,2,114.93814486976768,91.61035411366383,108.08579031976265,713.3789708684004,0.7518633291166946,0.688520284717016,51.65666308720051,33.921667136626084,COMPLETE
17,0.6100993377483444,2026-04-20 15:01:24.524815,2026-04-20 15:04:04.237249,0 days 00:02:39.712434,0.8188095096191694,3,103.50882903541432,95.200862144027,52.98876667653148,425.5283661285979,0.8309788429220256,0.6575389999282764,40.573521314700145,37.51550617572073,COMPLETE
18,0.597682119205298,2026-04-20 15:01:26.074743,2026-04-20 15:05:55.202042,0 days 00:04:29.127299,0.6419674109946345,5,106.98735017678307,98.77545183247398,52.557213288986986,132.9556211238625,0.8670738282620241,0.6566340272070904,45.09811691724612,38.38419815612425,COMPLETE
19,0.8700331125827815,2026-04-20 15:01:27.078611,2026-04-20 15:06:44.375645,0 days 00:05:17.297034,0.7497229014852576,6,114.31616026515478,90.28072840774328,64.95335364703652,409.9403112228288,0.8204426289192376,0.6324326118031047,48.35903181371207,38.859413053022834,COMPLETE
20,0.8402317880794702,2026-04-20 15:01:29.930162,2026-04-20 15:03:54.664790,0 days 00:02:24.734628,0.6557703957977206,2,103.90470298850512,95.62995161948861,86.8684008524202,765.3516516044143,0.8721678278561145,0.5717524523770694,45.16493321193846,38.69639968884605,COMPLETE
21,0.8832781456953642,2026-04-20 15:01:37.212306,2026-04-20 15:07:00.192638,0 days 00:05:22.980332,0.8471130667285138,6,109.68643937905841,85.14430631394511,90.18335993802026,963.3898559963923,0.791265475748772,0.6548834872737097,54.566809762453516,38.844477478555135,COMPLETE
22,0.8038079470198676,2026-04-20 15:01:39.138622,2026-04-20 15:06:35.221661,0 days 00:04:56.083039,0.7534369810382225,5,104.45112248015218,94.43539578813416,115.15452646812612,630.8597864258373,0.800377955025616,0.7016954439726696,43.11872672314242,35.251268121156045,COMPLETE
23,0.5612582781456954,2026-04-20 15:02:13.855647,2026-04-20 15:05:33.966990,0 days 00:03:20.111343,0.6603734960092049,3,114.72305863537763,98.93264843197707,85.49717341933479,486.90530407428446,0.8718080179334853,0.5791162777568519,41.464900332242046,38.821359345420305,COMPLETE
24,0.5554635761589404,2026-04-20 15:02:16.830845,2026-04-20 15:05:16.536930,0 days 00:02:59.706085,0.6297054230477013,3,107.24694626216542,86.54608709158926,100.57570933298102,730.875531407108,0.8036076630294672,0.7149271500370726,40.12428871236397,31.95729007421546,COMPLETE
25,0.8940397350993378,2026-04-20 15:02:18.562726,2026-04-20 15:08:09.960257,0 days 00:05:51.397531,0.8482353997294931,6,100.1691203050088,86.1537976860952,99.11794081252295,70.92802120713174,0.8397025044108358,0.5586546422915791,50.68780965346501,30.012738497543623,COMPLETE
26,0.8981788079470199,2026-04-20 15:02:29.252201,2026-04-20 15:08:28.077171,0 days 00:05:58.824970,0.8379239832480657,6,100.23603973865978,86.4302735768818,97.68964063189249,75.75707749306324,0.8476927422104921,0.551271278047711,50.48254864616831,30.359429792101515,COMPLETE
27,0.9014900662251656,2026-04-20 15:02:36.359696,2026-04-20 15:07:57.336952,0 days 00:05:20.977256,0.8194205695606525,5,100.35540739435433,86.87421322070632,101.48973331244893,10.540102639349954,0.8415230125850885,0.6444297547381876,50.48346795970296,31.25709332012492,COMPLETE
28,0.9114238410596026,2026-04-20 15:02:52.729610,2026-04-20 15:07:23.742975,0 days 00:04:31.013365,0.6386790194094275,4,100.1622929053094,86.8500576065326,100.9499096764709,42.1258529537439,0.8327826669244323,0.6640690698351006,50.13000736514779,30.434890153324716,COMPLETE
29,0.918046357615894,2026-04-20 15:02:53.801946,2026-04-20 15:07:19.528484,0 days 00:04:25.726538,0.6342166946967674,4,100.85988875235654,86.67268379019637,100.79314122038684,42.59166413192037,0.8307103204304453,0.6513874852452641,51.28416665626123,30.145080503667092,COMPLETE
30,0.8998344370860927,2026-04-20 15:03:01.165650,2026-04-20 15:07:35.988298,0 days 00:04:34.822648,0.6440942919578879,4,100.40343642057117,92.62903667906836,104.04340449726246,10.194460315029659,0.8268126886578385,0.6559050935842916,50.32779487222515,30.00428472330423,COMPLETE
31,0.9097682119205298,2026-04-20 15:03:16.389494,2026-04-20 15:07:34.846614,0 days 00:04:18.457120,0.6369465732530065,4,100.13001190632211,87.12626117930924,100.32079802607899,43.823158240418536,0.8314008130999192,0.6480825514037316,49.47431349701962,30.14164601031722,COMPLETE
32,0.9205298013245033,2026-04-20 15:03:28.352594,2026-04-20 15:08:07.535950,0 days 00:04:39.183356,0.6374634204497396,4,101.38561630044697,86.06434390501504,99.38036326311729,19.708066958400195,0.8252669927566958,0.6587675727060114,50.002616994443144,30.08714283834655,COMPLETE
33,0.9163907284768212,2026-04-20 15:03:54.668328,2026-04-20 15:08:26.308991,0 days 00:04:31.640663,0.6171306971146406,4,100.46603656428834,87.1681617413954,97.03563864665657,116.42344057734354,0.8250484549009292,0.659493287916121,49.57083351583644,30.43095304382611,COMPLETE
34,0.9213576158940397,2026-04-20 15:04:04.357584,2026-04-20 15:08:17.356397,0 days 00:04:12.998813,0.6196952559548099,4,101.62619092902311,87.1929546755213,99.94886923974235,47.888267661840246,0.8533638951302451,0.6475383837439752,49.75818577058108,30.031814911231876,COMPLETE
