number,value,datetime_start,datetime_complete,duration,params_color_p,params_disk_size,params_length_max,params_length_min,params_min_threshold,params_no_object_threshold,params_pp_circle,params_pp_square,params_radius_max,params_radius_min,state
31,0.8888888888888888,2026-04-17 14:39:09.155647,2026-04-17 14:41:07.891381,0 days 00:01:58.735734,0.7285689252173088,3,108.14297099733966,92.64004833249513,100.27842027594912,117.01726989732026,0.7881807917128312,0.566852699866965,45.09131576792216,38.65201205393346,COMPLETE
32,0.8896198830409356,2026-04-17 14:39:22.928059,2026-04-17 14:41:22.880381,0 days 00:01:59.952322,0.7188069154745494,3,108.53152906088074,85.05689604480222,98.46544707960793,89.35611488206018,0.7859036194530186,0.5737385002669786,46.11909110864361,38.362589051006054,COMPLETE
33,0.8932748538011696,2026-04-17 14:39:31.243987,2026-04-17 14:41:28.657121,0 days 00:01:57.413134,0.7035396688499922,3,108.08318781340841,85.04637871466993,100.18760444661888,14.911578588300586,0.7857386164787358,0.5766650145724262,44.7003016869521,37.90948924556319,COMPLETE
34,0.8918128654970761,2026-04-17 14:40:20.809013,2026-04-17 14:43:26.110996,0 days 00:03:05.301983,0.6984508582536788,5,107.59810385878343,93.02999873642813,96.29440802906448,40.603914060225804,0.7851804600832353,0.5765451160997574,45.03894048356801,37.872832454819616,COMPLETE
35,0.8983918128654971,2026-04-17 14:40:35.605335,2026-04-17 14:43:38.672170,0 days 00:03:03.066835,0.6823756052962195,5,108.1450568524898,85.01011423966311,98.23723555553893,596.4465598410321,0.7918513133717301,0.5806020862933062,44.951603272406956,37.938808253542916,COMPLETE
36,0.8991228070175439,2026-04-17 14:40:38.797949,2026-04-17 14:43:50.806375,0 days 00:03:12.008426,0.6046316067204641,5,107.78198003958683,93.471169526997,90.86865224835294,989.2765212889663,0.7903401168802445,0.6596276446635152,44.50893556862737,34.63487916742144,COMPLETE
37,0.8888888888888888,2026-04-17 14:41:05.501592,2026-04-17 14:43:03.162384,0 days 00:01:57.660792,0.6181070829805764,3,108.53493068911268,93.44898341731935,99.12022679028964,589.9230116761668,0.789845234192759,0.5741958956611265,45.455372028862875,37.56068830256228,COMPLETE
38,0.8874269005847953,2026-04-17 14:41:07.907649,2026-04-17 14:43:28.910856,0 days 00:02:21.003207,0.6911735276125975,4,108.44349284824007,93.40097447988775,98.8755259536823,30.420063901899695,0.7917540097738525,0.5501091674452894,43.04191032237283,37.22185520278197,COMPLETE
39,0.8384502923976608,2026-04-17 14:41:10.015127,2026-04-17 14:42:40.207123,0 days 00:01:30.191996,0.6149786404871287,1,107.98043926671339,88.21766328710021,98.44270547511991,14.268753994348117,0.7925409730101224,0.5503694319063551,43.036917504901666,34.831207714687295,COMPLETE
40,0.8940058479532164,2026-04-17 14:41:22.894026,2026-04-17 14:43:24.216740,0 days 00:02:01.322714,0.697638054575591,3,106.70057087113231,85.81718877090648,96.71372451174742,20.41541599886625,0.7898717969887389,0.5836616602625468,43.328238409108415,35.19963941825405,COMPLETE
41,0.8508771929824561,2026-04-17 14:41:22.937122,2026-04-17 14:43:45.906703,0 days 00:02:22.969581,0.6951783716175249,3,106.17539202706584,85.3871502714178,97.47707889806018,31.191370786200125,0.7883176894807287,0.5533139256165688,43.33688037756859,39.89353387811763,COMPLETE
42,0.8779239766081871,2026-04-17 14:41:28.663153,2026-04-17 14:43:55.880888,0 days 00:02:27.217735,0.6960209449075125,4,106.37053839251945,85.663717424045,95.43277940815608,10.98745825173367,0.7937827935418499,0.550875686890819,43.463396626463954,39.44225484293443,COMPLETE
43,0.8961988304093568,2026-04-17 14:41:39.026959,2026-04-17 14:44:20.000874,0 days 00:02:40.973915,0.6996627282134041,4,106.52546181462678,85.12308771384365,96.72068628173672,61.358312994322425,0.7935615471328938,0.5874626098505394,43.39677299673727,35.120248142737424,COMPLETE
44,0.8918128654970761,2026-04-17 14:41:55.827352,2026-04-17 14:44:22.576447,0 days 00:02:26.749095,0.700747486335193,4,106.76788228857151,85.0493902921979,94.72505464341006,79.17568213495895,0.7924432999550686,0.585453822709659,42.92524460093766,35.307025287681206,COMPLETE
45,0.8757309941520468,2026-04-17 14:42:07.519093,2026-04-17 14:44:46.877121,0 days 00:02:39.358028,0.696890209529641,4,105.71009420227716,88.26675016934158,93.09773296342131,248.70289182639488,0.793967030016259,0.5862129709004773,43.05386868488741,39.55585951874154,COMPLETE
46,0.8903508771929824,2026-04-17 14:42:12.717097,2026-04-17 14:44:30.650868,0 days 00:02:17.933771,0.7006317706498852,3,108.24587936053784,85.15349789283187,94.1410066410358,146.2040714702472,0.7947086649250364,0.5864419750613101,43.36824918048934,39.32321993298495,COMPLETE
47,0.8874269005847953,2026-04-17 14:42:14.777255,2026-04-17 14:44:35.449810,0 days 00:02:20.672555,0.6943257768947316,3,108.3009560397506,85.0419722536123,92.94407090673546,106.30153473813279,0.8101878555894279,0.582951712032502,43.104421568635885,39.38609448550338,COMPLETE
48,0.8998538011695907,2026-04-17 14:42:16.758770,2026-04-17 14:44:43.908191,0 days 00:02:27.149421,0.6942892769198301,4,108.92393315052216,85.31966621729258,92.6725558942801,223.36926385097308,0.8120236752206645,0.5860276927341219,43.5614974790294,35.05851134007685,COMPLETE
49,0.8940058479532164,2026-04-17 14:42:17.108602,2026-04-17 14:44:43.716432,0 days 00:02:26.607830,0.6912554953994052,4,108.99399496022114,85.00908449186821,93.03632935494888,206.42474482214953,0.8136236679173887,0.5860703570880096,43.303884677377766,39.26879185793696,COMPLETE
50,0.8823099415204678,2026-04-17 14:42:40.230170,2026-04-17 14:45:07.500197,0 days 00:02:27.270027,0.6952374337266413,4,108.88360043759776,85.87279493456137,91.54171440700698,229.2187166244019,0.8137032710363239,0.5789534173372594,54.9414219704316,39.4798250100271,COMPLETE
51,0.8457602339181286,2026-04-17 14:43:03.191301,2026-04-17 14:45:24.663306,0 days 00:02:21.472005,0.686157029154499,4,105.29061088462923,85.15437889507719,92.19759090570719,218.70963149812607,0.7695536292798046,0.5849454305207106,47.27181853536903,39.49595454820081,COMPLETE
52,0.9013157894736842,2026-04-17 14:43:24.226751,2026-04-17 14:45:37.826476,0 days 00:02:13.599725,0.7098718507374894,4,105.54895566613929,86.21375332540396,91.45030100246053,289.6875156540218,0.8142799759970945,0.5850212810524745,54.88522072741348,35.00133604461029,COMPLETE
