epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,124.391,0.93395,0.67223,0.91357,0.9828,0.97665,0.99094,0.73337,1.03395,0.53247,0.95004,0.000540037,0.000540037,0.000540037
43,127.354,0.91123,0.64364,0.90502,0.9804,0.99206,0.99059,0.72823,1.05885,0.52915,0.95512,0.000531038,0.000531038,0.000531038
44,129.994,0.93342,0.65325,0.91735,0.98136,0.99206,0.9895,0.73189,1.02817,0.51283,0.9428,0.000522039,0.000522039,0.000522039
45,132.663,0.90383,0.63455,0.92761,0.9817,0.99206,0.98969,0.7231,1.03837,0.51065,0.94333,0.00051304,0.00051304,0.00051304
46,135.247,0.92085,0.64759,0.92409,0.97511,0.98869,0.99078,0.71589,1.07195,0.54173,0.95737,0.00050404,0.00050404,0.00050404
47,138.964,0.91869,0.65096,0.90528,0.97625,0.97477,0.98887,0.74211,1.00778,0.5386,0.94014,0.000495041,0.000495041,0.000495041
48,141.687,0.87515,0.61715,0.91691,0.98454,0.97159,0.98904,0.74134,1.01857,0.5383,0.93592,0.000486042,0.000486042,0.000486042
49,144.292,0.90319,0.64203,0.92339,0.98168,0.98271,0.98742,0.75184,0.97766,0.54518,0.92073,0.000477043,0.000477043,0.000477043
50,146.974,0.89958,0.6313,0.931,0.98279,0.98903,0.9867,0.73312,1.02214,0.53026,0.92846,0.000468044,0.000468044,0.000468044
51,150.032,0.90339,0.63307,0.91928,0.97865,0.99206,0.98845,0.73033,1.0156,0.52546,0.92885,0.000459045,0.000459045,0.000459045
52,153.425,0.90767,0.61667,0.92029,0.98026,0.99169,0.99028,0.7215,1.05807,0.5182,0.95001,0.000450046,0.000450046,0.000450046
53,155.976,0.8978,0.60626,0.91161,0.99154,0.98801,0.99143,0.7327,1.04067,0.51718,0.94472,0.000441047,0.000441047,0.000441047
54,158.553,0.89112,0.59812,0.90796,0.98187,0.98207,0.99107,0.72161,1.09039,0.52516,0.96524,0.000432048,0.000432048,0.000432048
55,161.07,0.89217,0.60899,0.92388,0.97876,0.98032,0.98965,0.71684,1.08363,0.52973,0.95881,0.000423049,0.000423049,0.000423049
56,164.484,0.90393,0.61391,0.91209,0.98011,0.98617,0.98887,0.73401,1.03015,0.51608,0.94114,0.000414049,0.000414049,0.000414049
57,167.642,0.9141,0.60509,0.91694,0.98409,0.99206,0.98961,0.7209,1.07761,0.50838,0.95953,0.00040505,0.00040505,0.00040505
58,170.179,0.88788,0.60972,0.90781,0.9854,0.99206,0.98902,0.72403,1.06281,0.5125,0.95472,0.000396051,0.000396051,0.000396051
59,172.842,0.91481,0.60817,0.91993,0.98892,0.98972,0.99043,0.70895,1.09059,0.51752,0.96608,0.000387052,0.000387052,0.000387052
60,175.377,0.89985,0.63658,0.90966,0.9889,0.98938,0.992,0.72508,1.06939,0.50939,0.95305,0.000378053,0.000378053,0.000378053
61,178.964,0.84736,0.57796,0.9134,0.98102,0.99206,0.99015,0.73782,1.0231,0.51487,0.93591,0.000369054,0.000369054,0.000369054
62,181.78,0.89148,0.59851,0.90035,0.97845,0.99206,0.98981,0.73816,1.03417,0.50492,0.93909,0.000360055,0.000360055,0.000360055
63,184.414,0.86431,0.56781,0.90811,0.97925,0.99206,0.9895,0.73712,1.02749,0.48671,0.93583,0.000351056,0.000351056,0.000351056
64,187.026,0.84354,0.565,0.8997,0.98363,0.99206,0.98875,0.73055,1.00877,0.48234,0.93229,0.000342057,0.000342057,0.000342057
