epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.84257,1.36399,4.65366,1.08466,0,0,0,0,1.24072,4.25739,1.07244,8.181e-05,8.181e-05,8.181e-05
2,6.61498,1.20975,3.39415,1.00156,0.00339,0.16125,0.04926,0.01993,1.16529,3.94265,0.95932,0.000171,0.000171,0.000171
3,9.43414,1.16304,2.30912,0.97752,0.00831,0.44016,0.22293,0.13131,1.21372,3.70355,0.95941,0.000258391,0.000258391,0.000258391
4,13.2683,1.15201,1.85371,0.9679,0.00971,0.70943,0.39467,0.24838,1.16407,3.52945,0.93467,0.000343981,0.000343981,0.000343981
5,16.4817,1.13324,1.50013,0.98128,0.0081,0.65859,0.39482,0.26828,1.182,3.42177,0.97429,0.000427772,0.000427772,0.000427772
6,19.1306,1.10887,1.33072,0.96961,0.01509,0.85955,0.71167,0.45186,1.19819,3.22845,1.01108,0.000509763,0.000509763,0.000509763
7,22.0223,1.14213,1.27437,0.97543,0.01544,0.89583,0.87021,0.55672,1.1954,2.88975,1.03059,0.000589954,0.000589954,0.000589954
8,25.162,1.11513,1.12626,0.95677,0.01651,0.98413,0.95847,0.61223,1.25751,2.75131,1.0758,0.000668345,0.000668345,0.000668345
9,28.632,1.13226,1.13702,0.98859,1,0.30976,0.99069,0.64836,1.2038,2.12688,1.06269,0.000744936,0.000744936,0.000744936
10,31.3362,1.1007,1.08713,0.96376,0.98216,0.62961,0.98926,0.64134,1.22488,1.81682,1.05496,0.000819728,0.000819728,0.000819728
11,33.9898,1.1108,0.98329,0.95842,0.97398,0.92695,0.99211,0.65338,1.21641,1.40182,1.03282,0.000819009,0.000819009,0.000819009
12,36.7072,1.09855,0.96748,0.96827,0.95668,0.98997,0.995,0.65748,1.23546,1.17081,1.05079,0.00081001,0.00081001,0.00081001
13,40.4571,1.09276,0.95476,0.96939,0.9537,1,0.995,0.65675,1.24681,1.0343,1.04375,0.000801011,0.000801011,0.000801011
14,43.4229,1.05731,0.94259,0.97088,0.95824,0.98725,0.9945,0.66117,1.20737,0.78295,1.03155,0.000792012,0.000792012,0.000792012
15,47.3289,1.06013,0.89096,0.96954,0.96692,0.9815,0.99399,0.65636,1.24488,0.79902,1.04848,0.000783013,0.000783013,0.000783013
16,50.1238,1.03792,0.89093,0.95993,0.96238,0.99389,0.98846,0.66416,1.20915,0.72278,1.04067,0.000774013,0.000774013,0.000774013
17,54.0319,1.07683,0.87361,0.97899,0.96138,0.98576,0.9887,0.65365,1.25554,0.65546,1.06726,0.000765014,0.000765014,0.000765014
18,56.7359,1.06847,0.86883,0.96606,0.95138,0.9751,0.98047,0.6494,1.22547,0.6969,1.04748,0.000756015,0.000756015,0.000756015
19,59.3184,1.05357,0.8499,0.97005,0.95994,0.99128,0.9908,0.66112,1.21022,0.65391,1.03891,0.000747016,0.000747016,0.000747016
