epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,38.2861,0.8008,1.11878,0.92347,1,0.3329,0.9211,0.59073,1.27853,2.23197,1.05104,0.000986206,0.000986206,0.000986206
43,39.0783,0.75498,1.13919,0.88668,1,0.3329,0.9211,0.59073,1.27853,2.23197,1.05104,0.00099314,0.00099314,0.00099314
44,39.8541,0.79667,1.44539,0.92007,1,0.24663,0.89682,0.5872,1.25324,2.26943,1.05667,0.000999282,0.000999282,0.000999282
45,40.6885,0.79047,1.26171,0.93942,1,0.24663,0.89682,0.5872,1.25324,2.26943,1.05667,0.00100463,0.00100463,0.00100463
46,41.4835,0.80514,1.26567,0.96748,0.97393,0.39329,0.90385,0.5857,1.28065,2.08364,1.07725,0.00100919,0.00100919,0.00100919
47,42.2567,0.73585,1.10954,0.86325,0.97393,0.39329,0.90385,0.5857,1.28065,2.08364,1.07725,0.00101296,0.00101296,0.00101296
48,43.051,0.69131,1.18155,0.87237,0.95428,0.87881,0.96834,0.61247,1.29148,1.67567,1.08802,0.00101593,0.00101593,0.00101593
49,43.8209,0.7393,1.34578,0.88396,0.95428,0.87881,0.96834,0.61247,1.29148,1.67567,1.08802,0.00101811,0.00101811,0.00101811
50,44.6832,0.64242,0.91879,0.88193,0.94554,0.91373,0.95852,0.59859,1.2526,1.61289,1.05038,0.0010195,0.0010195,0.0010195
51,45.7194,0.76059,0.94343,0.92311,0.94554,0.91373,0.95852,0.59859,1.2526,1.61289,1.05038,0.00101,0.00101,0.00101
52,47.0961,0.78951,1.04261,0.94643,0.86111,0.93684,0.92168,0.59922,1.23507,1.46811,1.03355,0.0009902,0.0009902,0.0009902
53,48.4078,0.71115,1.06954,0.87439,0.86111,0.93684,0.92168,0.59922,1.23507,1.46811,1.03355,0.0009704,0.0009704,0.0009704
54,49.1883,0.76073,0.94773,0.89786,0.84494,0.91775,0.92396,0.58045,1.26835,1.37554,1.03462,0.0009506,0.0009506,0.0009506
55,49.9625,0.78384,0.94092,0.97213,0.84494,0.91775,0.92396,0.58045,1.26835,1.37554,1.03462,0.0009308,0.0009308,0.0009308
56,50.7809,0.75088,0.93415,0.89027,0.84243,0.90048,0.9237,0.57535,1.28721,1.35149,1.0369,0.000911,0.000911,0.000911
57,51.53,0.90735,1.03821,0.92427,0.84243,0.90048,0.9237,0.57535,1.28721,1.35149,1.0369,0.0008912,0.0008912,0.0008912
58,52.349,0.69673,1.11657,0.89477,0.85743,0.89474,0.92712,0.57338,1.28073,1.31774,1.03724,0.0008714,0.0008714,0.0008714
59,53.1234,0.68395,1.16057,0.84674,0.85743,0.89474,0.92712,0.57338,1.28073,1.31774,1.03724,0.0008516,0.0008516,0.0008516
60,53.9284,0.63867,0.9034,0.86594,0.88065,0.93211,0.96158,0.61382,1.23263,1.18239,1.02377,0.0008318,0.0008318,0.0008318
61,54.711,0.72199,0.86542,0.87397,0.88065,0.93211,0.96158,0.61382,1.23263,1.18239,1.02377,0.000812,0.000812,0.000812
62,55.5585,0.82906,1.01799,0.88162,0.89476,0.94737,0.97486,0.6401,1.18082,1.08565,0.99977,0.0007922,0.0007922,0.0007922
63,56.3331,0.81139,0.89794,0.87911,0.89476,0.94737,0.97486,0.6401,1.18082,1.08565,0.99977,0.0007724,0.0007724,0.0007724
64,57.2927,0.70037,1.33245,0.90533,0.91019,0.96019,0.98173,0.64624,1.18274,1.03405,1.00732,0.0007526,0.0007526,0.0007526
