epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,227.211,0.52729,0.34702,0.91587,0.99846,0.99451,0.995,0.85436,0.59043,0.27589,0.9025,0.0011684,0.0011684,0.0011684
44,233.211,0.53285,0.33886,0.9196,0.99942,0.99451,0.995,0.86247,0.60176,0.27308,0.90091,0.0011486,0.0011486,0.0011486
45,238.061,0.51487,0.32989,0.90652,0.99937,0.99451,0.995,0.87303,0.54182,0.26622,0.88047,0.0011288,0.0011288,0.0011288
46,243.153,0.51007,0.33143,0.91118,0.99963,0.99451,0.995,0.85254,0.58104,0.26973,0.89502,0.001109,0.001109,0.001109
47,248.668,0.52091,0.33109,0.91395,0.99961,0.99451,0.995,0.86621,0.57849,0.26753,0.89472,0.0010892,0.0010892,0.0010892
48,253.524,0.52203,0.34374,0.92204,0.99936,0.99451,0.995,0.86951,0.56453,0.25113,0.88746,0.0010694,0.0010694,0.0010694
49,259.408,0.51861,0.33971,0.92222,0.99962,0.99451,0.995,0.86493,0.56578,0.25055,0.89815,0.0010496,0.0010496,0.0010496
50,264.237,0.52273,0.33408,0.91953,0.99962,0.99451,0.995,0.84966,0.62176,0.25054,0.90505,0.0010298,0.0010298,0.0010298
51,268.984,0.513,0.3223,0.91096,0.99965,0.99451,0.995,0.8729,0.53198,0.23574,0.87692,0.00101,0.00101,0.00101
52,274.834,0.48721,0.31505,0.90105,0.99968,0.99451,0.995,0.86357,0.55697,0.26164,0.8811,0.0009902,0.0009902,0.0009902
